year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,150302,pit,SI,two_strike,vsL,20,10,10,11,8,3,0,0,0,11,8,3,1,1,10,0,10,1794.3684210526317,6.51,-1.3485,0.5900000000000001,0.06006006006006006,0.5,0.0,0.0,0.0,0.8,0.3,1.0,1.0,0.05,0.1,0.5,0.0,0.5
2015,150302,pit,SI,two_strike,vsR,16,9,7,8,8,0,1,1,0,7,7,0,2,1,9,0,7,1806.5,6.225,-1.445,0.600625,0.04804804804804805,0.5625,0.125,0.125,0.0,0.8888888888888888,0.0,0.875,0.0,0.1875,0.2222222222222222,0.5625,0.0,0.4375
2015,150302,pit,SI,,vsL,45,22,23,15,10,5,0,0,0,15,10,5,12,10,20,2,23,1819.8536585365853,6.216279069767442,-1.4862222222222221,0.49244444444444446,0.13513513513513514,0.4888888888888889,0.0,0.0,0.0,0.45454545454545453,0.21739130434782608,1.0,1.0,0.26666666666666666,0.45454545454545453,0.4444444444444444,0.044444444444444446,0.5111111111111111
2015,150302,pit,SI,,vsR,35,24,11,10,9,1,0,0,0,10,9,1,15,14,18,6,11,1813.8529411764705,6.31764705882353,-1.4854285714285715,0.592,0.10510510510510511,0.6857142857142857,0.0,0.0,0.0,0.375,0.09090909090909091,1.0,1.0,0.42857142857142855,0.5833333333333334,0.5142857142857142,0.17142857142857143,0.3142857142857143
2015,150302,pit,SL,ahead,vsL,5,3,2,2,1,1,0,0,0,2,1,1,3,2,3,0,2,1877.2,6.2,0.364,0.404,0.015015015015015015,0.6,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.6,0.6666666666666666,0.6,0.0,0.4
2015,150302,pit,SL,ahead,vsR,11,7,4,8,7,1,3,3,0,5,4,1,0,0,6,1,4,1873.7272727272727,6.1909090909090905,0.3981818181818182,0.5727272727272728,0.03303303303303303,0.6363636363636364,0.375,0.42857142857142855,0.0,1.0,0.25,0.5714285714285714,1.0,0.2727272727272727,0.42857142857142855,0.5454545454545454,0.09090909090909091,0.36363636363636365
2015,150302,pit,SL,behind,vsL,3,2,1,1,1,0,0,0,0,1,1,0,1,1,2,0,1,2120.3333333333335,6.2,0.2066666666666667,0.4766666666666666,0.009009009009009009,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.3333333333333333
2015,150302,pit,SL,behind,vsR,6,3,3,3,2,1,0,0,0,3,2,1,0,0,2,1,3,1700.75,6.233333333333333,0.14833333333333334,0.41333333333333333,0.018018018018018018,0.5,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5
2015,150302,pit,SL,two_strike,vsL,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2162.0,6.2,0.4166666666666667,0.38666666666666666,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
2015,150302,pit,SL,two_strike,vsR,17,7,10,12,5,7,4,1,3,8,4,4,0,0,7,0,10,1941.6875,6.147058823529412,0.10882352941176471,0.38294117647058823,0.05105105105105105,0.4117647058823529,0.3333333333333333,0.2,0.42857142857142855,0.7142857142857143,0.7,0.8,0.5714285714285714,0.23529411764705882,0.14285714285714285,0.4117647058823529,0.0,0.5882352941176471
2015,150302,pit,SL,,vsL,6,3,3,2,1,1,0,0,0,2,1,1,2,2,3,0,3,1936.5,6.216666666666666,0.12666666666666668,0.6566666666666666,0.018018018018018018,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.0,0.5
2015,150302,pit,SL,,vsR,16,10,6,6,5,1,3,2,1,3,3,0,5,4,9,1,6,1984.0,6.23125,0.1625,0.51125,0.04804804804804805,0.625,0.5,0.4,1.0,0.5,0.16666666666666666,0.6,0.0,0.5,0.6,0.5625,0.0625,0.375
